iter	Passed	Remaining
0	4	966
1	8	800
2	11	757
3	14	706
4	17	687
5	20	669
6	23	659
7	27	649
8	30	643
9	31	592
10	34	594
11	38	595
12	41	593
13	44	589
14	47	587
15	50	584
16	54	584
17	57	583
18	60	580
19	63	575
20	67	571
21	70	569
22	73	564
23	76	561
24	79	556
25	82	552
26	85	547
27	88	543
28	91	541
29	94	537
30	97	532
31	101	530
32	103	525
33	106	521
34	109	518
35	112	513
36	116	512
37	119	509
38	122	503
39	125	502
40	128	498
41	131	495
42	134	490
43	136	485
44	139	481
45	142	476
46	145	472
47	147	467
48	150	462
49	152	458
50	155	453
51	157	449
52	160	444
53	163	440
54	165	436
55	168	432
56	171	429
57	173	425
58	176	422
59	179	419
60	182	415
61	185	412
62	188	409
63	191	406
64	193	402
65	196	398
66	199	395
67	201	391
68	204	388
69	206	384
70	209	380
71	211	376
72	214	373
73	217	369
74	219	366
75	222	362
76	224	359
77	227	355
78	230	352
79	232	348
80	235	345
81	237	342
82	240	339
83	243	336
84	247	334
85	249	331
86	252	327
87	255	324
88	257	321
89	260	317
90	262	314
91	265	311
92	268	308
93	271	305
94	273	302
95	276	299
96	279	297
97	282	293
98	285	290
99	287	287
100	290	284
101	293	282
102	296	278
103	299	276
104	301	272
105	304	269
106	306	266
107	308	262
108	310	259
109	313	256
110	316	253
111	319	250
112	322	247
113	324	244
114	327	241
115	329	238
116	331	235
117	334	232
118	337	229
119	339	226
120	342	223
121	345	220
122	348	218
123	351	215
124	354	212
125	357	209
126	359	206
127	362	204
128	365	201
129	368	198
130	371	195
131	373	192
132	376	189
133	379	186
134	381	183
135	384	180
136	386	177
137	389	175
138	392	172
139	394	169
140	397	166
141	399	163
142	402	160
143	405	157
144	407	154
145	410	151
146	412	148
147	415	145
148	417	143
149	420	140
150	422	137
151	425	134
152	428	131
153	430	128
154	433	125
155	435	122
156	438	120
157	441	117
158	443	114
159	446	111
160	448	108
161	451	105
162	453	103
163	456	100
164	459	97
165	461	94
166	464	91
167	466	88
168	469	86
169	471	83
170	474	80
171	477	77
172	477	74
173	480	71
174	482	68
175	485	66
176	488	63
177	491	60
178	494	57
179	496	55
180	499	52
181	501	49
182	504	46
183	507	44
184	509	41
185	512	38
186	515	35
187	518	33
188	521	30
189	524	27
190	527	24
191	530	22
192	532	19
193	535	16
194	538	13
195	541	11
196	544	8
197	546	5
198	549	2
199	551	0
